histological_diagnosis_label,Unknown
Ductal Breast Carcinoma,717
Squamous Cell Lung Carcinoma,447
Endometrial Endometrioid Adenocarcinoma,378
Clear Cell Renal Cell Carcinoma,355
Hepatocellular Carcinoma,350
Thyroid Gland Papillary Carcinoma,340
Bladder Urothelial Carcinoma,331
Non-Cutaneous Melanoma,304
Lung Adenocarcinoma,303
Prostate Adenocarcinoma,293
Papillary Renal Cell Carcinoma,276
Ovarian Serous Cystadenocarcinoma,263
Colon Adenocarcinoma,254
Glioblastoma,211
Prostate Acinar Adenocarcinoma,188
Rectosigmoid Adenocarcinoma,158
Gastric Adenocarcinoma,157
"Cervical Squamous Cell Carcinoma, Not Otherwise Specified",152
Lobular Breast Carcinoma,151
Pancreatic Ductal Adenocarcinoma,132
Mixed Glioma,131
Anaplastic Astrocytoma,129
Tongue Squamous Cell Carcinoma,119
Lung Adenocarcinoma with Mixed Bronchioloalveolar and Invasive Components,116
Serous Cystadenocarcinoma,114
Cutaneous Melanoma,113
Adrenal Gland Pheochromocytoma,110
Oligodendroglioma,109
Squamous Cell Carcinoma,106
Follicular Variant Thyroid Gland Papillary Carcinoma,103
Laryngeal Squamous Cell Carcinoma,97
Keratinizing Squamous Cell Carcinoma,93
Esophageal Squamous Cell Carcinoma,89
Esophageal Adenocarcinoma,85
Gastric Intestinal Type Adenocarcinoma,78
Adrenal Cortex Carcinoma,72
Gastric tubular adenocarcinoma,72
Anaplastic Oligoastrocytoma,71
Chromophobe Renal Cell Carcinoma,66
Astrocytoma,64
Bladder Papillary Urothelial Carcinoma,63
Leiomyosarcoma,63
Diffuse Gastric Adenocarcinoma,62
Seminoma,62
Non-Keratinizing Large Cell Squamous Cell Carcinoma,61
Rectal Adenocarcinoma,60
Acute Myeloid Leukemia Not Otherwise Specified,60
Epithelioid Mesothelioma,53
Colon Mucinous Adenocarcinoma,52
B Lymphoblastic Leukemia/Lymphoma,47
Dedifferentiated Liposarcoma,47
Diffuse Large B-Cell Lymphoma,47
Floor of Mouth Squamous Cell Carcinoma,46
Mixed Mesodermal (Mullerian) Tumor,45
Malignant Adrenal Gland Pheochromocytoma,41
Mixed Epithelioid and Spindle Cell Melanoma,38
Columnar Cell Variant Thyroid Gland Papillary Carcinoma,34
Undifferentiated (Embryonal) Sarcoma,33
Oral Cavity Squamous Cell Carcinoma,31
Mucinous Adenocarcinoma,31
Intrahepatic Cholangiocarcinoma,30
Malignant Type AB Thymoma,27
Embryonal Carcinoma,26
Mixed Germ Cell Tumor,25
Invasive Ductal and Invasive Lobular Breast Carcinoma,25
Breast Adenocarcinoma,25
Malignant Type B2 Thymoma,25
Papillary Adenocarcinoma,24
Acinar Lung Adenocarcinoma,24
Basaloid Squamous Cell Carcinoma,24
Uterine Corpus Leiomyosarcoma,24
Myxofibrosarcoma,23
Spindle Cell Melanoma,23
Nodular Melanoma,22
Epithelioid Cell Melanoma,20
Pancreatic Adenocarcinoma,19
"Endocervical Adenocarcinoma, Usual-Type",19
Non-Mucinous Minimally Invasive Lung Adenocarcinoma,18
Pleural biphasic mesothelioma,18
Mucinous Gastric Adenocarcinoma,18
Extra-Adrenal Paraganglioma,18
"Cervical Mucinous Adenocarcinoma, Not Otherwise Specified",16
Signet Ring Cell Carcinoma,16
Renal Cell Carcinoma,14
Malignant Type A Thymoma,14
Rectosigmoid Mucinous Adenocarcinoma,13
Undifferentiated Pleomorphic Sarcoma,13
Metaplastic Breast Carcinoma,12
Thymoma Type B3,12
Thymic Carcinoma,11
Malignant Peripheral Nerve Sheath Tumor,10
Uterine Corpus Carcinosarcoma,10
Oropharyngeal Squamous Cell Carcinoma,9
