project_id,project_name,n_cases_total,available_gdc_Methylation,available_gdc_RNA-seq,n_files_Methylation,n_files_RNA-seq,has_rnaseq,has_methylation,cancer_type
TCGA-ACC,Adrenocortical Carcinoma,92,True,True,80,79,True,True,ACC
TCGA-BLCA,Bladder Urothelial Carcinoma,412,True,True,440,431,True,True,BLCA
TCGA-BRCA,Breast Invasive Carcinoma,1098,True,True,1238,1231,True,True,BRCA
TCGA-CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,307,True,True,312,309,True,True,CESC
TCGA-CHOL,Cholangiocarcinoma,51,True,True,45,44,True,True,CHOL
TCGA-COAD,Colon Adenocarcinoma,461,True,True,555,524,True,True,COAD
TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,58,True,True,48,48,True,True,DLBC
TCGA-ESCA,Esophageal Carcinoma,185,True,True,202,198,True,True,ESCA
TCGA-GBM,Glioblastoma Multiforme,617,True,True,450,391,True,True,GBM
TCGA-HNSC,Head and Neck Squamous Cell Carcinoma,528,True,True,580,566,True,True,HNSC
TCGA-KICH,Kidney Chromophobe,113,True,True,66,91,True,True,KICH
TCGA-KIRC,Kidney Renal Clear Cell Carcinoma,537,True,True,903,614,True,True,KIRC
TCGA-KIRP,Kidney Renal Papillary Cell Carcinoma,291,True,True,342,323,True,True,KIRP
TCGA-LAML,Acute Myeloid Leukemia,200,True,True,388,151,True,True,LAML
TCGA-LGG,Brain Lower Grade Glioma,516,True,True,534,534,True,True,LGG
TCGA-LIHC,Liver Hepatocellular Carcinoma,377,True,True,430,424,True,True,LIHC
TCGA-LUAD,Lung Adenocarcinoma,585,True,True,710,601,True,True,LUAD
TCGA-LUSC,Lung Squamous Cell Carcinoma,504,True,True,573,562,True,True,LUSC
TCGA-MESO,Mesothelioma,87,True,True,87,87,True,True,MESO
TCGA-OV,Ovarian Serous Cystadenocarcinoma,608,True,True,623,434,True,True,OV
TCGA-PAAD,Pancreatic Adenocarcinoma,185,True,True,195,183,True,True,PAAD
TCGA-PCPG,Pheochromocytoma and Paraganglioma,179,True,True,187,187,True,True,PCPG
TCGA-PRAD,Prostate Adenocarcinoma,500,True,True,553,554,True,True,PRAD
TCGA-READ,Rectum Adenocarcinoma,172,True,True,179,177,True,True,READ
TCGA-SARC,Sarcoma,261,True,True,269,265,True,True,SARC
TCGA-SKCM,Skin Cutaneous Melanoma,470,True,True,475,473,True,True,SKCM
TCGA-STAD,Stomach Adenocarcinoma,443,True,True,470,448,True,True,STAD
TCGA-TGCT,Testicular Germ Cell Tumors,263,True,True,156,156,True,True,TGCT
TCGA-THCA,Thyroid Carcinoma,507,True,True,571,572,True,True,THCA
TCGA-THYM,Thymoma,124,True,True,126,122,True,True,THYM
TCGA-UCEC,Uterine Corpus Endometrial Carcinoma,560,True,True,603,589,True,True,UCEC
TCGA-UCS,Uterine Carcinosarcoma,57,True,True,57,57,True,True,UCS
TCGA-UVM,Uveal Melanoma,80,True,True,80,80,True,True,UVM
