project_id,project_name,n_cases_total,data_type,n_files,data_format,platform,available_gdc
TCGA-LGG,Brain Lower Grade Glioma,516,RNA-seq,534,TSV,Illumina,True
TCGA-LGG,Brain Lower Grade Glioma,516,Methylation,534,TXT,Illumina Human Methylation 450,True
TCGA-BRCA,Breast Invasive Carcinoma,1098,RNA-seq,1231,TSV,Illumina,True
TCGA-BRCA,Breast Invasive Carcinoma,1098,Methylation,1238,TXT,Illumina Human Methylation 27,True
TCGA-LAML,Acute Myeloid Leukemia,200,RNA-seq,151,TSV,Illumina,True
TCGA-LAML,Acute Myeloid Leukemia,200,Methylation,388,TXT,Illumina Human Methylation 450,True
TCGA-UCS,Uterine Carcinosarcoma,57,RNA-seq,57,TSV,Illumina,True
TCGA-UCS,Uterine Carcinosarcoma,57,Methylation,57,TXT,Illumina Human Methylation 450,True
TCGA-GBM,Glioblastoma Multiforme,617,RNA-seq,391,TSV,,True
TCGA-GBM,Glioblastoma Multiforme,617,Methylation,450,TXT,Illumina Human Methylation 450,True
TCGA-THYM,Thymoma,124,RNA-seq,122,TSV,Illumina,True
TCGA-THYM,Thymoma,124,Methylation,126,TXT,Illumina Human Methylation 450,True
TCGA-TGCT,Testicular Germ Cell Tumors,263,RNA-seq,156,TSV,Illumina,True
TCGA-TGCT,Testicular Germ Cell Tumors,263,Methylation,156,TXT,Illumina Human Methylation 450,True
TCGA-PCPG,Pheochromocytoma and Paraganglioma,179,RNA-seq,187,TSV,Illumina,True
TCGA-PCPG,Pheochromocytoma and Paraganglioma,179,Methylation,187,TXT,Illumina Human Methylation 450,True
TCGA-CHOL,Cholangiocarcinoma,51,RNA-seq,44,TSV,Illumina,True
TCGA-CHOL,Cholangiocarcinoma,51,Methylation,45,TXT,Illumina Human Methylation 450,True
TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,58,RNA-seq,48,TSV,Illumina,True
TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,58,Methylation,48,TXT,Illumina Human Methylation 450,True
TCGA-CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,307,RNA-seq,309,TSV,Illumina,True
TCGA-CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,307,Methylation,312,TXT,Illumina Human Methylation 450,True
TCGA-ESCA,Esophageal Carcinoma,185,RNA-seq,198,TSV,Illumina,True
TCGA-ESCA,Esophageal Carcinoma,185,Methylation,202,TXT,Illumina Human Methylation 450,True
TCGA-ACC,Adrenocortical Carcinoma,92,RNA-seq,79,TSV,Illumina,True
TCGA-ACC,Adrenocortical Carcinoma,92,Methylation,80,TXT,Illumina Human Methylation 450,True
TCGA-KICH,Kidney Chromophobe,113,RNA-seq,91,TSV,Illumina,True
TCGA-KICH,Kidney Chromophobe,113,Methylation,66,TXT,Illumina Human Methylation 450,True
TCGA-HNSC,Head and Neck Squamous Cell Carcinoma,528,RNA-seq,566,TSV,Illumina,True
TCGA-HNSC,Head and Neck Squamous Cell Carcinoma,528,Methylation,580,TXT,Illumina Human Methylation 450,True
TCGA-READ,Rectum Adenocarcinoma,172,RNA-seq,177,TSV,Illumina,True
TCGA-READ,Rectum Adenocarcinoma,172,Methylation,179,TXT,Illumina Human Methylation 450,True
TCGA-COAD,Colon Adenocarcinoma,461,RNA-seq,524,TSV,Illumina,True
TCGA-COAD,Colon Adenocarcinoma,461,Methylation,555,TXT,Illumina Human Methylation 450,True
TCGA-BLCA,Bladder Urothelial Carcinoma,412,RNA-seq,431,TSV,Illumina,True
TCGA-BLCA,Bladder Urothelial Carcinoma,412,Methylation,440,TXT,Illumina Human Methylation 450,True
TCGA-LIHC,Liver Hepatocellular Carcinoma,377,RNA-seq,424,TSV,Illumina,True
